S. No.,Crash Date,Crash Day,Location,State,LatLong,latitude,longitude,Road Type,Crash Type,Killed,Injured,Vehicle 1,Vehicle/Object 2,Million Plus City
871,2022-07-20,Wednesday,Koothattukulam,Kerala,"9.860746543042406, 76.59740276583467",9.860746543042406,76.59740276583467,SH,Fixed Object Collision,1,0,Two Wheeler,Pole,Nil
872,2022-07-24,Sunday,Bilkhiriya,Madhya Pradesh,"23.256073185414806, 77.58298153658785",23.256073185414806,77.58298153658785,NH,Hit and Run,1,0,Two Wheeler,Unidentified,Nil
873,2022-07-24,Sunday,Megraa,Madhya Pradesh,"23.681334215884217, 77.46066505698248",23.681334215884217,77.46066505698248,SH,Hit and Run,1,0,Two Wheeler,Car,Nil
874,2022-07-27,Wednesday,Kurnool Ring Road,Andhra Pradesh,"15.761981976291281, 78.0205006532582",15.761981976291281,78.0205006532582,NH,Hit From Back,3,3,Car,Truck,Nil
875,2022-07-26,Tuesday,BTM Layout,Karnataka,"12.916371907451651, 77.61697348578028",12.916371907451651,77.61697348578028,OR,Hit and Run,1,1,Two Wheeler,Unidentified,Bengaluru
876,2022-07-26,Tuesday,Masuri,Uttar Pradesh,"28.68880790698141, 77.55244731315047",28.68880790698141,77.55244731315047,NH,Fixed Object Collision,3,0,Two Wheeler,Divider,Nil
877,2022-07-26,Tuesday,Bamheta,Uttar Pradesh,"28.649244391742904, 77.46967064490445",28.649244391742904,77.46967064490445,NH,Fixed Object Collision,1,0,Two Wheeler,Divider,Ghaziabad
878,2022-07-26,Tuesday,Jakhol,Uttarakhand,"30.389988368796864, 78.89482852209672",30.389988368796864,78.89482852209672,OR,Vehicle Overturn,1,4,Pick Up,Gorge,Nil
879,2022-07-26,Tuesday,Chandrama Chowk,Bihar,"25.577565237623467, 87.579481648749",25.577565237623467,87.579481648749,NH,Others,1,1,Two Wheeler,Bus,Nil
880,2022-07-27,Wednesday,Hiranagar,Himachal Pradesh,"31.113145309002686, 77.10432524742168",31.113145309002686,77.10432524742168,NH,Run Off Road,1,22,Bus,Gorge,Nil
881,2022-07-27,Wednesday,Acharapakkam,Tamil Nadu,"12.407262812658416, 79.81736834538259",12.407262812658416,79.81736834538259,NH,Head On Collision ,2,0,Two Wheeler,Truck,Nil
882,2022-07-29,Friday,Naraini,Uttar Pradesh,"25.187145377591197, 80.47401054681619",25.187145377591197,80.47401054681619,SH,Head On Collision ,6,7,Auto Rickshaw,SUV,Nil
883,2022-07-29,Friday,Udairamsar,Rajasthan,"27.933038901856406, 73.29090523704126",27.933038901856406,73.29090523704126,OR,Hit From Back,3,0,Two Wheeler,Truck,Nil
